,Movie Name,Eng Name,Country,Time Line,Opening Date,Naver Star,Director,R rated,Actors
0,그린 북,Green Book,미국,130분,2019.01.09 개봉,9.6,피터 패럴리,12세 관람가,"비고 모텐슨, 마허샬라 알리, 린다 카델리니, 세바스찬 매니스캘코, 디미터 D. 마리노프, nan, nan, nan, nan"
1,가버나움,Capharnaum,"레바논, 프랑스",126분,2019.01.24 개봉,9.59,나딘 라바키,15세 관람가,"자인 알 라피아, 요르다노스 시프로우, 보루와티프 트레저 반콜, 나딘 라바키, 하이타 아이잠, nan, nan, nan, nan"
2,원더,Wonder,미국,113분,"2021.02.11 재개봉,  2017.12.27 개봉",9.53,스티븐 크보스키,전체 관람가,"제이콥 트렘블레이, 줄리아 로버츠, 오웬 윌슨, 이자벨라 비도빅, 노아 주프, nan, nan, nan, nan"
3,아일라,Ayla The Daughter of War,"대한민국, 튀르키예",123분,2018.06.21 개봉,9.52,잔 울카이,15세 관람가,"김설, 이스마일 하지오글루, 세틴 테킨도르, 알리 아타이, 자니 영, nan, nan, nan, nan"
4,당갈,Dangal,인도,161분,2018.04.25 개봉,9.49,니테쉬 티와리,12세 관람가,"아미르 칸, 파티마 사나 셰이크, 산야 말호트라, 사크시 탄와르, 기리시 쿨카니, nan, nan, nan, nan"
5,먼 훗날 우리,Us and Them,중국,120분,,9.48,유약영,<class 'str'>,"정백연, 주동우, 톈좡좡, 쑤샤오밍, 시여비, nan, nan, nan, nan"
6,쇼생크 탈출,The Shawshank Redemption,미국,142분,"2016.02.24 재개봉,  1995.01.28 개봉",9.46,프랭크 다라본트,15세 관람가,"팀 로빈스, 모건 프리먼, 밥 건튼, 윌리암 새들러, 클랜시 브라운, nan, nan, nan, nan"
7,덕구,Stand by me,대한민국,91분,2018.04.05 개봉,9.45,방수인,전체 관람가,"이순재, 정지훈, 장광, 성병숙, 차순배, nan, nan, nan, nan"
8,보헤미안 랩소디,Bohemian Rhapsody,"미국, 영국",134분,2018.10.31 개봉,9.42,브라이언 싱어,12세 관람가,"라미 말렉, 루시 보인턴, 귈림 리, 벤 하디, 조셉 마젤로, nan, nan, nan, nan"
9,포레스트 검프,Forrest Gump,미국,142분,"2016.09.07 재개봉,  1994.10.15 개봉",9.41,로버트 저메키스,12세 관람가,"톰 행크스, 로빈 라이트, 게리 시나이즈, 미켈티 윌리암슨, 샐리 필드, nan, nan, nan, nan"
10,위대한 쇼맨,The Greatest Showman,미국,104분,"2020.05.21 재개봉,  2017.12.20 개봉",9.41,마이클 그레이시,12세 관람가,"휴 잭맨, 잭 에프론, 미셸 윌리엄스, 레베카 퍼거슨, 젠데이아 콜먼, nan, nan, nan, nan"
11,인생은 아름다워,La Vita E Bella,대한민국,122분,2022.09.28 개봉,9.41,로베르토 베니니,12세 관람가,"류승룡, 염정아, 박세완, 옹성우, 심달기, nan, nan, nan, nan"
12,헬프,The Help,미국,146분,2011.11.03 개봉,9.4,테이트 테일러,전체 관람가,"엠마 스톤, 비올라 데이비스, 옥타비아 스펜서, 브라이스 달라스 하워드, 제시카 차스테인, nan, nan, nan, nan"
13,캐스트 어웨이,Cast Away,미국,143분,2001.02.03 개봉,9.4,로버트 저메키스,12세 관람가,"톰 행크스, 헬렌 헌트, 닉 서시, None, None, nan, nan, nan, nan"
14,쉰들러 리스트,Schindlers List,미국,196분,"2019.01.24 재개봉,  1994.03.05 개봉",9.39,스티븐 스필버그,15세 관람가,"리암 니슨, 벤 킹슬리, 랄프 파인즈, 캐롤라인 구덜, 조나단 사갈, nan, nan, nan, nan"
