id,Movie Name,Eng Name,Genre
0,그린 북,Green Book,드라마
1,가버나움,Capharnaum,드라마
2,원더,Wonder,드라마
3,아일라,Ayla The Daughter of War,드라마
4,당갈,Dangal,드라마
5,먼 훗날 우리,Us and Them,드라마
6,쇼생크 탈출,The Shawshank Redemption,드라마
7,덕구,Stand by me,드라마
8,보헤미안 랩소디,Bohemian Rhapsody,드라마
9,포레스트 검프,Forrest Gump,드라마
10,위대한 쇼맨,The Greatest Showman,드라마
11,인생은 아름다워,La Vita E Bella,드라마
12,헬프,The Help,드라마
13,캐스트 어웨이,Cast Away,드라마
14,쉰들러 리스트,Schindlers List,드라마
15,죽은 시인의 사회,Dead Poets Society,드라마
16,히든 피겨스,Hidden Figures,드라마
17,집으로...,The Way Home,드라마
18,여인의 향기,Scent Of A Woman,드라마
19,아이 캔 스피크,i Can Speak,드라마
20,동주,DongJu The Portrait of A Poet,드라마
21,굿바이 마이 프랜드,The Cure,드라마
22,굿 윌 헌팅,Good Will Hunting,드라마
23,미스 슬로운,Miss Sloane,드라마
24,자산어보,The Book of Fish,드라마
25,지상의 별처럼,TZP,드라마
26,아마데우스,Amadeus,드라마
27,두 교황,The Two Popes,드라마
28,아이 엠 샘,I Am Sam,드라마
29,그대를 사랑합니다,I Love You,드라마
30,빌리 엘리어트,Billy Elliot,드라마
31,피아니스트,The Pianist,드라마
32,시네마 천국,Cinema Paradiso,드라마
33,소원,HOPE,드라마
34,우리들의 일그러진 영웅,Our Twisted Hero,드라마
35,블라인드 사이드,The Blind Side,드라마
36,패왕별희 디 오리지널,Farewell My Concubine,드라마
37,코러스,Les Choristes,드라마
38,뷰티풀 투모로우,Beautiful Tomorrow,드라마
39,8월의 크리스마스,Christmas In August,드라마
40,록키,Rocky,드라마
41,일급 살인,Murder In The First,드라마
42,달링,Breathe,드라마
43,시월애,A Love Story,드라마
44,인생,Lifetimes,드라마
45,허스토리,Herstory,드라마
46,내 이름은 칸,My Name Is Khan,드라마
47,"나, 다니엘 블레이크",Daniel Blake,드라마
48,천국의 아이들,The Children Of Heaven,드라마
49,공동경비구역 JSA,Joint Security Area,드라마
50,반지의 제왕: 왕의 귀환,The Lord Of The Rings The Return Of The King,판타지
51,해리 포터와 마법사의 돌,Harry Potter And The Sorcerers Stone,판타지
52,반지의 제왕: 두 개의 탑,The Lord Of The Rings The Two Towers,판타지
53,반지의 제왕: 반지 원정대,The Lord Of The Rings The Fellowship Of The Ring,판타지
54,천녀유혼,A Chinese Ghost Story,판타지
55,가위손,Edward Scissorhands,판타지
56,조 블랙의 사랑,Meet Joe Black,판타지
57,캐리비안의 해적 - 블랙 펄의 저주,Pirates Of The Caribbean The Curse Of The Black Pearl,판타지
58,온워드: 단 하루의 기적,Onward,판타지
59,천녀유혼 3,A Chinese Ghost Story III,판타지
60,벤자민 버튼의 시간은 거꾸로 간다,The Curious Case Of Benjamin Button,판타지
61,천녀유혼 2,A Chinese Ghost Story II The Story Continues,판타지
62,캐리비안의 해적 - 망자의 함,Pirates Of The Caribbean Dead Mans Chest,판타지
63,해리 포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,판타지
64,팀 버튼의 크리스마스 악몽,Tim Burtons The Nightmare Before Christmas,판타지
65,스타더스트,Stardust,판타지
66,드라큐라,Bram Stokers Dracula,판타지
67,찰리와 초콜릿 공장,Charlie And The Chocolate Factory,판타지
68,미녀와 야수,Beauty and the Beast,판타지
69,해리 포터와 아즈카반의 죄수,Harry Potter And The Prisoner Of Azkaban,판타지
70,스트레인저 댄 픽션,Stranger Than Fiction,판타지
71,"당신, 거기 있어줄래요",Will You Be There,판타지
72,큐브,Cube,판타지
73,나니아 연대기 - 캐스피언 왕자,The Chronicles Of Narnia Prince Caspian,판타지
74,천국의 우편배달부,Postman To Heaven,판타지
75,13층,The Thirteenth Floor,판타지
76,천년여우 여우비,Yobi,판타지
77,스파이더위크가의 비밀,The Spiderwick Chronicles,판타지
78,록키 호러 픽쳐 쇼,The Rocky Horror Picture Show,판타지
79,호빗: 다섯 군대 전투,The Hobbit The Battle of the Five Armies,판타지
80,호빗 : 스마우그의 폐허,The Hobbit  The Desolation of Smaug,판타지
81,아더와 미니모이: 제1탄 비밀 원정대의 출정,Arthur Et Les Minimoys,판타지
82,미스 페레그린과 이상한 아이들의 집,Miss Peregrines Home For Peculiar Children,판타지
83,호빗 : 뜻밖의 여정,The Hobbit An Unexpected Journey,판타지
84,존 말코비치 되기,Being John Malkovich,판타지
85,"오늘 밤, 로맨스 극장에서",Color Me True,판타지
86,불청객,The Uninvited,판타지
87,헝거게임: 캣칭 파이어,The Hunger Games Catching Fire,판타지
88,비밀,Secret,판타지
89,판의 미로 - 오필리아와 세 개의 열쇠,El Laberinto Del Fauno,판타지
90,내안의 그놈,Inside me,판타지
91,말레피센트,Maleficent,판타지
92,캐리비안의 해적 - 세상의 끝에서,Pirates Of The Caribbean At Worlds End,판타지
93,인랑,JINROH The Wolf Brigade,판타지
94,경계선,GRANS,판타지
