id,Movie Name,Naver Star,Director
0,그린 북,9.6,피터 패럴리
1,가버나움,9.59,나딘 라바키
2,원더,9.53,스티븐 크보스키
3,아일라,9.52,잔 울카이
4,당갈,9.49,니테쉬 티와리
5,먼 훗날 우리,9.48,유약영
6,쇼생크 탈출,9.46,프랭크 다라본트
7,덕구,9.45,방수인
8,보헤미안 랩소디,9.42,브라이언 싱어
9,포레스트 검프,9.41,로버트 저메키스
10,위대한 쇼맨,9.41,마이클 그레이시
11,인생은 아름다워,9.41,로베르토 베니니
12,헬프,9.4,테이트 테일러
13,캐스트 어웨이,9.4,로버트 저메키스
14,쉰들러 리스트,9.39,스티븐 스필버그
15,죽은 시인의 사회,9.38,피터 위어
16,히든 피겨스,9.38,데오도르 멜피
17,집으로...,9.38,이정향
18,여인의 향기,9.38,마틴 브레스트
19,아이 캔 스피크,9.37,김현석
20,동주,9.37,이준익
21,굿바이 마이 프랜드,9.36,피터 호튼
22,굿 윌 헌팅,9.36,구스 반 산트
23,미스 슬로운,9.36,존 매든
24,자산어보,9.35,이준익
25,지상의 별처럼,9.35,아미르 칸
26,아마데우스,9.35,밀로스 포만
27,두 교황,9.34,페르난도 메이렐레스
28,아이 엠 샘,9.33,제시 넬슨
29,그대를 사랑합니다,9.33,추창민
30,빌리 엘리어트,9.33,스티븐 달드리
31,피아니스트,9.33,로만 폴란스키
32,시네마 천국,9.33,쥬세페 토르나토레
33,소원,9.33,이준익
34,우리들의 일그러진 영웅,9.32,박종원
35,블라인드 사이드,9.32,존 리 행콕
36,패왕별희 디 오리지널,9.32,천카이거
37,코러스,9.32,크리스토퍼 파라티에
38,뷰티풀 투모로우,9.31,장재혁
39,8월의 크리스마스,9.31,허진호
40,록키,9.31,존 G. 아빌드센
41,일급 살인,9.3,마크 로코
42,달링,9.3,앤디 서키스
43,시월애,9.29,이현승
44,인생,9.29,장이머우
45,허스토리,9.29,민규동
46,내 이름은 칸,9.29,카란 조하르
47,"나, 다니엘 블레이크",9.29,켄 로치
48,천국의 아이들,9.28,마지드 마지디
49,공동경비구역 JSA,9.28,박찬욱
50,반지의 제왕: 왕의 귀환,9.38,피터 잭슨
51,해리 포터와 마법사의 돌,9.37,크리스 콜럼버스
52,반지의 제왕: 두 개의 탑,9.35,피터 잭슨
53,반지의 제왕: 반지 원정대,9.3,피터 잭슨
54,천녀유혼,9.29,정소동
55,가위손,9.25,팀 버튼
56,조 블랙의 사랑,9.1,마틴 브레스트
57,캐리비안의 해적 - 블랙 펄의 저주,9.06,고어 버빈스키
58,온워드: 단 하루의 기적,9.03,댄 스캔론
59,천녀유혼 3,8.99,정소동
60,벤자민 버튼의 시간은 거꾸로 간다,8.95,데이빗 핀처
61,천녀유혼 2,8.93,정소동
62,캐리비안의 해적 - 망자의 함,8.91,고어 버빈스키
63,해리 포터와 비밀의 방,8.89,크리스 콜럼버스
64,팀 버튼의 크리스마스 악몽,8.87,헨리 셀릭
65,스타더스트,8.81,매튜 본
66,드라큐라,8.79,프란시스 포드 코폴라
67,찰리와 초콜릿 공장,8.79,팀 버튼
68,미녀와 야수,8.78,빌 콘돈
69,해리 포터와 아즈카반의 죄수,8.76,알폰소 쿠아론
70,스트레인저 댄 픽션,8.72,마크 포스터
71,"당신, 거기 있어줄래요",8.72,홍지영
72,큐브,8.71,빈센조 나탈리
73,나니아 연대기 - 캐스피언 왕자,8.62,앤드류 애덤슨
74,천국의 우편배달부,8.61,이형민
75,13층,8.57,조세프 루스낵
76,천년여우 여우비,8.56,이성강
77,스파이더위크가의 비밀,8.53,마크 워터스
78,록키 호러 픽쳐 쇼,8.51,짐 셔먼
79,호빗: 다섯 군대 전투,8.5,피터 잭슨
80,호빗 : 스마우그의 폐허,8.48,피터 잭슨
81,아더와 미니모이: 제1탄 비밀 원정대의 출정,8.48,뤽 베송
82,미스 페레그린과 이상한 아이들의 집,8.45,팀 버튼
83,호빗 : 뜻밖의 여정,8.42,피터 잭슨
84,존 말코비치 되기,8.41,스파이크 존즈
85,"오늘 밤, 로맨스 극장에서",8.38,타케우치 히데키
86,불청객,8.33,이응일
87,헝거게임: 캣칭 파이어,8.31,프란시스 로렌스
88,비밀,8.28,타키타 요지로
89,판의 미로 - 오필리아와 세 개의 열쇠,8.25,기예르모 델 토로
90,내안의 그놈,8.24,강효진
91,말레피센트,8.22,로버트 스트롬버그
92,캐리비안의 해적 - 세상의 끝에서,8.21,고어 버빈스키
93,인랑,8.21,오키우라 히로유키
94,경계선,8.21,알리 아바시
95,슬리피 할로우,8.19,팀 버튼
96,신비한 동물사전,8.18,데이빗 예이츠
97,메리 포핀스 리턴즈,8.16,롭 마샬
98,케이트 앤 레오폴드,8.12,제임스 맨골드
99,환생,8.1,시오타 아키히코
100,뱀파이어와의 인터뷰,9.12,닐 조던
101,에이리언,9.12,리들리 스콧
102,싸이코,9.1,알프레드 히치콕
103,죠스,8.96,스티븐 스필버그
104,무서운 집,8.91,양병간
105,사탄의 인형,8.85,톰 홀랜드
106,"장화, 홍련",8.78,김지운
107,알 포인트,8.77,공수창
108,블레이드 2,8.75,길예르모 델 토로
109,딥 블루 씨,8.69,레니 할린
110,플라이,8.62,데이빗 크로넨버그
111,엑소시스트,8.6,윌리엄 프리드킨
112,카메라를 멈추면 안 돼!,8.57,우에다 신이치로
113,나이트메어,8.56,웨스 크레이븐
114,렛 미 인,8.5,토마스 알프레드슨
115,링,8.44,나카타 히데오
116,새벽의 저주,8.4,잭 스나이더
117,패컬티,8.4,로버트 로드리게즈
118,오펀: 천사의 비밀,8.37,자움 콜렛 세라
119,스크림,8.36,웨스 크레이븐
120,오멘,8.32,리처드 도너
121,쏘우 2,8.28,대런 린 보우즈만
122,데스티네이션,8.27,제임스 왕
123,여고괴담 두번째 이야기,8.23,김태용
124,컨저링 2,8.22,제임스 완
125,팬도럼,8.22,크리스티앙 알바트
126,본즈 앤 올,8.21,루카 구아다니노
127,더 셀,8.1,타셈 싱
128,시실리 2km,8.1,신정원
129,이블 데드,8.05,샘 레이미
130,여고괴담,8.03,박기형
131,매드니스,8.03,존 카펜터
132,데드 얼라이브,7.99,피터 잭슨
133,불신지옥,7.92,이용주
134,맨 인 더 다크,7.92,페데 알바레즈
135,스켈리톤 키,7.91,이언 소프트리
136,트라이앵글,7.91,크리스토퍼 스미스
137,제인 도,7.88,안드레 외브레달
138,반교: 디텐션,7.86,존 쉬
139,하우스 오브 왁스,7.86,자움 콜렛 세라
140,컨저링,7.85,제임스 완
141,더 로드,7.84,장-바티스트 안드레아
142,떼시스,7.84,알레한드로 아메나바르
143,에이리언 2020,7.77,데이빗 토히
144,1408,7.77,미카엘 하프스트롬
145,사일런트 힐,7.71,크리스토프 갱스
146,라스트 나잇 인 소호,7.7,에드가 라이트
147,마마,7.68,안드레스 무시에티
148,어느날 갑자기 세번째 이야기 - D-day,7.67,김은경
149,스테이크 랜드,7.67,짐 미클
150,클래식,9.44,곽재용
151,사운드 오브 뮤직,9.42,로버트 와이즈
152,타이타닉,9.41,제임스 카메론
153,"지금, 만나러 갑니다",9.35,도이 노부히로
154,로망,9.34,이창근
155,플립,9.29,로브 라이너
156,소년시절의 너,9.28,증국상
157,말할 수 없는 비밀,9.27,주걸륜
158,사랑과 영혼,9.22,제리 주커
159,첫 키스만 50번째,9.21,피터 시걸
160,러브 앳,9.19,위고 젤랭
