Movie_Name,R rated
그린 북,12세 관람가
가버나움,15세 관람가
원더,전체 관람가
아일라,15세 관람가
당갈,12세 관람가
먼 훗날 우리,<class 'str'>
쇼생크 탈출,15세 관람가
덕구,전체 관람가
보헤미안 랩소디,12세 관람가
포레스트 검프,12세 관람가
위대한 쇼맨,12세 관람가
인생은 아름다워,12세 관람가
헬프,전체 관람가
캐스트 어웨이,12세 관람가
쉰들러 리스트,15세 관람가
죽은 시인의 사회,12세 관람가
히든 피겨스,12세 관람가
집으로...,전체 관람가
여인의 향기,15세 관람가
아이 캔 스피크,12세 관람가
동주,12세 관람가
굿바이 마이 프랜드,<class 'str'>
굿 윌 헌팅,15세 관람가
미스 슬로운,15세 관람가
자산어보,12세 관람가
지상의 별처럼,전체 관람가
아마데우스,12세 관람가
두 교황,12세 관람가
아이 엠 샘,12세 관람가
그대를 사랑합니다,15세 관람가
빌리 엘리어트,12세 관람가
피아니스트,12세 관람가
시네마 천국,전체 관람가
소원,12세 관람가
우리들의 일그러진 영웅,전체 관람가
블라인드 사이드,12세 관람가
패왕별희 디 오리지널,15세 관람가
코러스,전체 관람가
뷰티풀 투모로우,12세 관람가
8월의 크리스마스,15세 관람가
록키,12세 관람가
일급 살인,15세 관람가
달링,12세 관람가
시월애,12세 관람가
인생,15세 관람가
허스토리,12세 관람가
내 이름은 칸,12세 관람가
"나, 다니엘 블레이크",12세 관람가
천국의 아이들,전체 관람가
공동경비구역 JSA,15세 관람가
반지의 제왕: 왕의 귀환,12세 관람가
해리 포터와 마법사의 돌,전체 관람가
반지의 제왕: 두 개의 탑,12세 관람가
반지의 제왕: 반지 원정대,12세 관람가
천녀유혼,12세 관람가
가위손,15세 관람가
조 블랙의 사랑,15세 관람가
캐리비안의 해적 - 블랙 펄의 저주,12세 관람가
온워드: 단 하루의 기적,전체 관람가
천녀유혼 3,12세 관람가
벤자민 버튼의 시간은 거꾸로 간다,12세 관람가
천녀유혼 2,12세 관람가
