Movie Name,Actor00,Actor01,Actor02,Actor03,Actor04,Actor05,Actor06,Actor07,Actor08
그린 북,비고 모텐슨,마허샬라 알리,린다 카델리니,세바스찬 매니스캘코,디미터 D. 마리노프
가버나움,자인 알 라피아,요르다노스 시프로우,보루와티프 트레저 반콜,나딘 라바키,하이타 아이잠
원더,제이콥 트렘블레이,줄리아 로버츠,오웬 윌슨,이자벨라 비도빅,노아 주프
아일라,김설,이스마일 하지오글루,세틴 테킨도르,알리 아타이,자니 영
당갈,아미르 칸,파티마 사나 셰이크,산야 말호트라,사크시 탄와르,기리시 쿨카니
먼 훗날 우리,정백연,주동우,톈좡좡,쑤샤오밍,시여비
쇼생크 탈출,팀 로빈스,모건 프리먼,밥 건튼,윌리암 새들러,클랜시 브라운
덕구,이순재,정지훈,장광,성병숙,차순배
보헤미안 랩소디,라미 말렉,루시 보인턴,귈림 리,벤 하디,조셉 마젤로
포레스트 검프,톰 행크스,로빈 라이트,게리 시나이즈,미켈티 윌리암슨,샐리 필드
위대한 쇼맨,휴 잭맨,잭 에프론,미셸 윌리엄스,레베카 퍼거슨,젠데이아 콜먼
인생은 아름다워,류승룡,염정아,박세완,옹성우,심달기
헬프,엠마 스톤,비올라 데이비스,옥타비아 스펜서,브라이스 달라스 하워드,제시카 차스테인
캐스트 어웨이,톰 행크스,헬렌 헌트,닉 서시,None,None
쉰들러 리스트,리암 니슨,벤 킹슬리,랄프 파인즈,캐롤라인 구덜,조나단 사갈
죽은 시인의 사회,로빈 윌리엄스,로버트 숀 레오나드,에단 호크,조쉬 찰스,게일 핸슨
히든 피겨스,타라지 P. 헨슨,옥타비아 스펜서,자넬 모네,케빈 코스트너,커스틴 던스트
집으로...,김을분,유승호,동효희,민경훈,임은경
여인의 향기,알 파치노,크리스 오도넬,제임스 레브혼,가브리엘 앤워,필립 세이모어 호프만
아이 캔 스피크,나문희,이제훈,박철민,염혜란,이상희
동주,강하늘,박정민,김인우,최홍일,김정팔
굿바이 마이 프랜드,조셉 마젤로,브래드 렌프로,다이애나 스카위드,브루스 데이비슨,아나벨라 시오라
굿 윌 헌팅,맷 데이먼,로빈 윌리엄스,벤 애플렉,스텔란 스카스가드,미니 드라이버
미스 슬로운,제시카 차스테인,마크 스트롱,구구 바샤-로,알리슨 필,마이클 스털버그
자산어보,설경구,변요한,이정은,민도희,차순배
지상의 별처럼,다실 사페리,아미르 칸,비핀 샤르마,티스카 쵸프라,타나이 크헤다
아마데우스,톰 헐스,F. 머레이 아브라함,엘리자베스 베리지,로이 도트라이스,크리스틴 에버솔
두 교황,안소니 홉킨스,조나단 프라이스,후안 미누진,시드니 콜,None
아이 엠 샘,숀 펜,미셸 파이퍼,다이앤 위스트,다코타 패닝,리차드 쉬프
그대를 사랑합니다,이순재,윤소정,송재호,김수미,오달수
빌리 엘리어트,제이미 벨,줄리 월터스,게리 루이스,제이미 드레이븐,진 헤이우드
피아니스트,애드리언 브로디,토마스 크레취만,프랭크 핀레이,모린 립먼,에밀리아 폭스
시네마 천국,마르코 레오나르디,필립 느와레,자끄 페렝,살바토레 카스치오,브리지트 포시
소원,설경구,엄지원,이레,김해숙,김상호
우리들의 일그러진 영웅,홍경인,고정일,최민식,태민영,이진선
블라인드 사이드,산드라 블록,팀 맥그로,제이 헤드,퀸튼 아론,릴리 콜린스
패왕별희 디 오리지널,장국영,공리,장풍의,지앙 웬리,갈우
코러스,제라르 쥐노,프랑수와 벨레앙,장 밥티스트 모니에,자끄 페렝,카드 므라드
뷰티풀 투모로우,박효신,정재일,None,None,None
8월의 크리스마스,한석규,심은하,신구,오지혜,이한위
록키,실베스터 스탤론,탈리아 샤이어,버트 영,칼 웨더스,버제스 메러디스
일급 살인,크리스찬 슬레이터,케빈 베이컨,게리 올드만,엠베스 데이비츠,윌리암 H. 머시
달링,앤드류 가필드,클레어 포이,톰 홀랜더,휴 보네빌,스테판 망간
시월애,이정재,전지현,김무생,조승연,민윤재
인생,공리,갈우,강무,곽도,None
허스토리,김희애,김해숙,예수정,문숙,이용녀
내 이름은 칸,샤룩 칸,까졸,쉐인 하퍼,크리스토퍼 B. 던칸,하모니 블로썸
"나, 다니엘 블레이크",데이브 존스,헤일리 스콰이어,샤론 퍼시,브리아나 샨,딜런 맥키어넌
천국의 아이들,레자 나지,아미르 파로크 하스미얀,바하레 세디키,None,None
공동경비구역 JSA,이영애,이병헌,송강호,김태우,신하균
반지의 제왕: 왕의 귀환,일라이저 우드,숀 애스틴,앤디 서키스,이안 맥켈런,리브 타일러
해리 포터와 마법사의 돌,다니엘 래드클리프,루퍼트 그린트,엠마 왓슨,로비 콜트레인,리처드 해리스
반지의 제왕: 두 개의 탑,일라이저 우드,이안 맥켈런,비고 모텐슨,리브 타일러,숀 애스틴
반지의 제왕: 반지 원정대,일라이저 우드,이안 맥켈런,리브 타일러,비고 모텐슨,숀 애스틴
천녀유혼,장국영,왕조현,우마,None,None
가위손,조니 뎁,위노나 라이더,다이앤 위스트,안소니 마이클 홀,케시 베이커
조 블랙의 사랑,브래드 피트,안소니 홉킨스,클레어 폴라니,제이크 웨버,마샤 게이 하든
캐리비안의 해적 - 블랙 펄의 저주,조니 뎁,제프리 러쉬,올랜도 블룸,키이라 나이틀리,잭 데이븐포트
온워드: 단 하루의 기적,톰 홀랜드,크리스 프랫,줄리아 루이스 드레이퍼스,옥타비아 스펜서,앨리 웡
천녀유혼 3,왕조현,양조위,장학우,리지,유조명
벤자민 버튼의 시간은 거꾸로 간다,브래드 피트,케이트 블란쳇,줄리아 오몬드,타라지 P. 헨슨,폰느 A. 챔버스
천녀유혼 2,장국영,왕조현,우마,이가흔,이자웅
캐리비안의 해적 - 망자의 함,조니 뎁,올랜도 블룸,키이라 나이틀리,빌 나이,스텔란 스카스가드
해리 포터와 비밀의 방,다니엘 래드클리프,루퍼트 그린트,엠마 왓슨,리처드 해리스,케네스 브래너
팀 버튼의 크리스마스 악몽,대니 엘프만,크리스 서랜던,캐서린 오하라,윌리엄 히키,글렌 샤딕스
스타더스트,찰리 콕스,클레어 데인즈,미셸 파이퍼,로버트 드 니로,시에나 밀러
드라큐라,게리 올드만,위노나 라이더,안소니 홉킨스,키아누 리브스,리차드 E. 그랜트
찰리와 초콜릿 공장,조니 뎁,프레디 하이모어,데이빗 켈리,헬레나 본햄 카터,노아 테일러
미녀와 야수,페이지 오하라,로비 벤슨,리처드 화이트,제리 오바치,데이빗 오그던 스타이어스
해리 포터와 아즈카반의 죄수,다니엘 래드클리프,엠마 왓슨,루퍼트 그린트,로비 콜트레인,티모시 스폴
스트레인저 댄 픽션,윌 페렐,매기 질렌할,더스틴 호프만,퀸 라티파,엠마 톰슨
