,Movie Name,Review Star Avg
0,아바타 리마스터링,평균 ★4.0 (19만명)
1,터미네이터 2:오리지널,평균 ★4.1 (37만명)
2,빽 투 더 퓨쳐,평균 ★3.8 (13만명)
3,매트릭스,"평균 ★2.6 (8,192명)"
4,에이리언 2,평균 ★3.8 (14만명)
5,에이 아이,평균 ★4.0 (39만명)
6,쥬라기 공원,평균 ★2.8 (2만명)
7,바이센테니얼 맨,평균 ★3.9 (22만명)
8,가타카,평균 ★4.0 (36만명)
9,터미네이터,평균 ★3.4 (3만명)
10,로보캅,평균 ★3.2 (11만명)
11,마이너리티 리포트,평균 ★4.0 (44만명)
12,이티,평균 ★3.9 (29만명)
13,빽 투 더 퓨쳐 2,평균 ★3.8 (13만명)
14,콘택트,평균 ★4.0 (16만명)
15,혹성탈출,평균 ★3.5 (10만명)
16,빽 투 더 퓨쳐 3,평균 ★3.8 (13만명)
17,인터스텔라,평균 ★4.3 (123만명)
18,스타워즈 에피소드 3 - 시스의 복수,평균 ★3.9 (12만명)
19,보물성,평균 ★3.4 (2만명)
20,스타워즈 에피소드 5 - 제국의 역습,평균 ★4.0 (10만명)
21,아바타,평균 ★3.9 (92만명)
22,아마겟돈,"평균 ★3.5 (1,861명)"
23,엑스맨: 퍼스트 클래스,평균 ★3.9 (57만명)
24,케이 팩스,평균 ★3.8 (7만명)
25,스타쉽 트루퍼스,"평균 ★3.0 (1,236명)"
26,스타워즈 에피소드 4 - 새로운 희망,평균 ★3.9 (11만명)
27,스타워즈 에피소드 6 - 제다이의 귀환,평균 ★3.9 (9만명)
28,디스트릭트 9,평균 ★3.8 (41만명)
29,아이언맨,평균 ★4.1 (106만명)
30,엑스맨: 데이즈 오브 퓨처 패스트,평균 ★4.0 (39만명)
31,아이언맨 3,평균 ★4.1 (106만명)
32,트랜스포머,평균 ★4.5 (1명)
33,토탈 리콜,평균 ★3.4 (20만명)
34,지구를 지켜라!,평균 ★3.4 (18만명)
35,매트릭스 2 - 리로디드,평균 ★3.9 (38만명)
36,12 몽키즈,평균 ★3.7 (10만명)
37,아일랜드,평균 ★3.7 (55만명)
38,"아이, 로봇",평균 ★3.7 (43만명)
39,딥 임팩트,평균 ★3.6 (13만명)
40,블레이드 러너,평균 ★3.7 (16만명)
41,공각기동대,평균 ★3.9 (13만명)
42,13 구역,평균 ★3.7 (23만명)
43,스타 트렉: 더 비기닝,평균 ★3.8 (14만명)
44,맨 인 블랙,평균 ★2.8 (3만명)
45,레지던트 이블,"평균 ★2.0 (2,270명)"
46,매트릭스 3 - 레볼루션,평균 ★3.9 (33만명)
47,더 문,평균 ★3.7 (9만명)
48,다크 시티,평균 ★3.6 (2만명)
49,터미네이터: 다크 페이트,평균 ★3.4 (3만명)
50,안녕 베일리,평균 ★4.1 (2만명)
51,프리 윌리,평균 ★3.7 (7만명)
52,메리 포핀스,평균 ★3.8 (2만명)
53,리멤버 타이탄,평균 ★3.8 (3만명)
54,아름다운 비행,평균 ★3.8 (6만명)
55,후크,평균 ★3.6 (7만명)
56,짱구는 못말려 극장판: 태풍을 부르는 노래하는 엉덩이 폭탄!,평균 ★3.5 (3만명)
57,오즈의 마법사,평균 ★3.7 (6만명)
58,피터팬,평균 ★3.6 (9만명)
59,하치 이야기,평균 ★3.6 (5만명)
60,하치 이야기,평균 ★3.6 (5만명)
61,카,평균 ★4.0 (3만명)
62,마음이...,평균 ★3.6 (33만명)
63,덤보,"평균 ★3.0 (6,979명)"
64,투 브라더스,"평균 ★3.5 (3,702명)"
65,우리는 동물원을 샀다,평균 ★3.6 (18만명)
66,하늘이 보내준 딸,평균 ★3.8 (268명)
67,걸어도 걸어도,평균 ★4.0 (4만명)
68,날아라 허동구,"평균 ★3.0 (8,509명)"
69,해피 피트,평균 ★3.5 (12만명)
70,우리 개 이야기,"평균 ★3.5 (4,659명)"
71,마음이 2,평균 ★3.3 (12만명)
72,동경가족,평균 ★3.6 (2만명)
73,프린세스 다이어리,평균 ★3.5 (23만명)
74,리지 맥과이어,평균 ★3.2 (3만명)
75,춘몽,평균 ★3.4 (1만명)
76,아이스케키,"평균 ★2.8 (6,036명)"
77,G-포스: 기니피그 특공대,평균 ★3.1 (1만명)
78,휴고,평균 ★3.5 (5만명)
79,용길이네 곱창집,"평균 ★3.3 (2,854명)"
80,비밀의 숲 테라비시아,평균 ★3.4 (7만명)
81,프린세스 다이어리 2,평균 ★3.5 (23만명)
82,빨간 모자의 진실,평균 ★3.1 (6만명)
83,방울토마토,"평균 ★3.1 (1,769명)"
84,깡철이,평균 ★3.0 (15만명)
85,썬키스 패밀리,"평균 ★2.4 (1,205명)"
86,마고리엄의 장난감 백화점,평균 ★3.2 (4만명)
87,어부바,평균 ★1.2 (232명)
88,콩가네,"평균 ★2.2 (1,389명)"
89,뱀파이어와의 인터뷰,평균 ★3.8 (14만명)
90,에이리언,평균 ★3.5 (7만명)
91,싸이코,평균 ★4.0 (6만명)
92,죠스,평균 ★2.4 (460명)
93,무서운 집,평균 ★2.4 (1만명)
94,사탄의 인형,평균 ★2.1 (453명)
95,"장화, 홍련",평균 ★3.3 (42만명)
96,알 포인트,평균 ★3.4 (50만명)
97,블레이드 2,평균 ★3.5 (15만명)
98,딥 블루 씨,평균 ★3.2 (8만명)
99,플라이,평균 ★3.6 (2만명)
100,엑소시스트,평균 ★2.5 (417명)
101,카메라를 멈추면 안 돼!,평균 ★3.7 (6만명)
102,나이트메어,평균 ★3.6 (1만명)
103,렛 미 인,평균 ★3.7 (22만명)
104,링,평균 ★2.8 (574명)
105,새벽의 저주,평균 ★3.7 (26만명)
